item_id item_vec price location
1 2,2,1,0.015764,0.833 2954 1
2 2,0,1,0.012539,0.776 179 1
3 2,8,1,0.007518,0.721 757 1
4 2,0,1,0.007163,0.806 1486 1
5 2,0,1,0.015435,0.710 593 1
6 2,7,1,0.007420,0.734 1479 1
7 2,7,1,0.006577,0.674 2954 1
8 2,0,1,0.005922,0.660 199 1
9 2,0,1,0.006482,0.690 199 1
10 2,3,1,0.008988,0.749 596 1
11 2,9,1,0.005072,0.714 299 1
12 2,0,1,0.003964,0.746 150 1
13 2,0,1,0.003703,0.746 600 1
14 3,4,1,0.020479,0.812 475 1
15 3,2,1,0.011079,0.846 1962 1
16 3,0,1,0.006915,0.767 478 1
17 3,8,1,0.003611,0.678 1315 1
18 3,0,1,0.007712,0.721 954 1
19 3,7,1,0.008415,0.789 986 1
20 3,7,1,0.006094,0.781 1978 1
21 3,0,1,0.009465,0.599 1107 1
22 3,0,1,0.003006,0.667 637 1
23 3,0,1,0.002788,0.652 637 1
24 3,0,1,0.005180,0.633 876 1
25 3,0,1,0.010060,0.558 946 1
26 3,3,1,0.006356,0.728 1271 1
27 3,9,1,0.005330,0.695 636 1
28 4,4,1,0.025387,0.851 295 1
29 4,2,1,0.017173,0.831 1207 1
30 4,8,1,0.006855,0.619 832 1
31 4,0,1,0.009008,0.833 618 1
32 4,0,1,0.014726,0.696 589 1
33 4,7,1,0.011241,0.783 609 1
34 4,7,1,0.007597,0.739 1222 1
35 4,0,1,0.007587,0.711 693 1
36 4,0,1,0.004046,0.608 398 1
37 4,0,1,0.003558,0.611 398 1
38 4,0,1,0.004999,0.645 596 1
39 4,0,1,0.008100,0.693 593 1
40 1,1,1,0.003261,0.267 1585 2
41 1,4,1,0.003934,0.373 1630 2
42 1,2,1,0.001694,0.110 4578 2
43 1,0,1,0.003671,0.414 418 2
44 1,8,1,0.002024,0.170 1863 2
45 1,0,1,0.002616,0.195 2810 2
46 1,0,1,0.003042,0.309 1647 2
47 1,7,1,0.001919,0.149 3826 2
48 1,7,1,0.001396,0.098 5208 2
49 1,7,1,0.001290,0.100 4973 2
50 1,7,1,0.001718,0.138 3520 2
51 1,0,1,0.004175,0.436 1440 2
52 1,0,1,0.003580,0.457 358 2
53 1,0,1,0.004346,0.490 359 2
54 1,3,1,0.003248,0.374 794 2
55 1,9,1,0.004162,0.375 517 2
56 1,6,1,0.007158,0.501 2689 2
57 1,0,1,0.001967,0.256 2352 2
58 1,0,1,0.003057,0.466 279 2
59 1,0,1,0.001351,0.206 1783 2
60 1,0,1,0.001187,0.141 2400 2
61 1,0,1,0.001823,0.446 1400 2
62 1,1,1,0.000283,0.449 1142 2
63 1,1,1,0.000173,0.282 1143 2
64 1,1,1,0.000322,0.411 1141 2
65 1,1,1,0.000267,0.390 1144 2
66 1,1,1,0.000351,0.484 1138 2
67 1,1,1,0.000132,0.334 1149 2
68 1,1,1,0.000159,0.509 1148 2
69 1,1,1,0.000192,0.310 1144 2
70 1,1,1,7.556912,0.269 1146 2
71 1,1,1,0.000117,0.281 1143 2
72 2,1,1,0.007606,0.693 898 2
73 2,2,1,0.012543,0.624 2770 2
74 2,0,1,0.005041,0.693 239 2
75 2,8,1,0.003320,0.574 1077 2
76 2,0,1,0.005050,0.559 1668 2
77 2,0,1,0.014142,0.495 836 2
78 2,7,1,0.004555,0.619 2769 2
79 2,7,1,0.003546,0.622 3873 2
80 2,7,1,0.004564,0.611 3338 2
81 2,7,1,0.004641,0.645 2240 2
82 2,0,1,0.002504,0.512 239 2
83 2,0,1,0.003155,0.473 239 2
84 2,3,1,0.008043,0.542 439 2
85 2,9,1,0.004025,0.530 279 2
86 2,6,1,0.012211,0.765 1793 2
87 2,0,1,0.003048,0.524 331 2
88 2,0,1,0.002741,0.506 799 2
89 2,1,1,0.000472,0.762 678 2
90 2,1,1,0.000384,0.686 677 2
91 2,1,1,0.000465,0.700 677 2
92 2,1,1,0.000376,0.668 677 2
93 2,1,1,0.000821,0.482 676 2
94 2,1,1,0.000275,0.607 678 2
95 2,1,1,8.385067,0.604 677 2
96 2,1,1,9.316741,0.637 678 2
97 2,1,1,0.000138,0.594 677 2
98 2,1,1,0.000367,0.506 677 2
99 3,1,1,0.005746,0.658 559 2
100 3,4,1,0.005364,0.700 836 2
101 3,2,1,0.008328,0.653 1783 2
102 3,0,1,0.004198,0.519 646 2
103 3,8,1,0.002818,0.433 1897 2
104 3,0,1,0.003628,0.622 1290 2
105 3,7,1,0.004946,0.589 1780 2
106 3,7,1,0.005325,0.615 2492 2
107 3,7,1,0.003495,0.601 2148 2
108 3,0,1,0.002860,0.504 2181 2
109 3,0,1,0.003028,0.451 896 2
110 3,0,1,0.003062,0.452 897 2
111 3,0,1,0.003356,0.496 1785 2
112 3,0,1,0.003303,0.530 1787 2
113 3,3,1,0.005074,0.508 1195 2
114 3,9,1,0.003972,0.453 558 2
115 3,1,1,0.000325,0.629 1429 2
116 3,1,1,0.000231,0.502 1430 2
117 3,1,1,0.000267,0.599 1430 2
118 3,1,1,0.000228,0.484 1432 2
119 3,1,1,0.000401,0.569 1429 2
120 3,1,1,0.000331,0.549 1434 2
121 3,1,1,0.000237,0.606 1432 2
